kind,c1,c2,c3,c4,c5,c6,c7,c8
vm,g6-standard-1,standard,ap-northeast,x86_64,1,2,0,false
vm,g6-standard-2,standard,ap-northeast,x86_64,2,4,0,false
vm,g6-standard-4,standard,ap-northeast,x86_64,4,8,0,false
vm,g6-standard-6,standard,ap-northeast,x86_64,6,16,0,false
vm,g6-standard-8,standard,ap-northeast,x86_64,8,32,0,false
vm,g6-dedicated-2,dedicated,ap-northeast,x86_64,2,4,0,false
vm,g6-dedicated-4,dedicated,ap-northeast,x86_64,4,8,0,false
vm,g6-dedicated-8,dedicated,ap-northeast,x86_64,8,16,0,false
vm,g6-nanode-1,nanode,us-east,x86_64,1,1,0,false
vm,g6-standard-1,standard,us-east,x86_64,1,2,0,false
vm,g6-standard-2,standard,us-east,x86_64,2,4,0,false
vm,g6-standard-4,standard,us-east,x86_64,4,8,0,false
vm,g6-standard-6,standard,us-east,x86_64,6,16,0,false
vm,g6-standard-8,standard,us-east,x86_64,8,32,0,false
vm,g6-dedicated-2,dedicated,us-east,x86_64,2,4,0,false
vm,g6-dedicated-4,dedicated,us-east,x86_64,4,8,0,false
vm,g6-dedicated-8,dedicated,us-east,x86_64,8,16,0,false
vm,g6-nanode-1,nanode,us-southeast,x86_64,1,1,0,false
vm,g6-standard-1,standard,us-southeast,x86_64,1,2,0,false
vm,g6-standard-2,standard,us-southeast,x86_64,2,4,0,false
vm,g6-standard-4,standard,us-southeast,x86_64,4,8,0,false
vm,g6-standard-6,standard,us-southeast,x86_64,6,16,0,false
vm,g6-standard-8,standard,us-southeast,x86_64,8,32,0,false
vm,g6-dedicated-2,dedicated,us-southeast,x86_64,2,4,0,false
vm,g6-dedicated-4,dedicated,us-southeast,x86_64,4,8,0,false
vm,g6-dedicated-8,dedicated,us-southeast,x86_64,8,16,0,false
os,eu-central,ubuntu,24.04,x86_64,linode/ubuntu24.04,,,
os,eu-central,ubuntu,22.04,x86_64,linode/ubuntu22.04,,,
os,eu-central,debian,12,x86_64,linode/debian12,,,
os,eu-central,debian,11,x86_64,linode/debian11,,,
os,gb-lon,ubuntu,24.04,x86_64,linode/ubuntu24.04,,,
os,gb-lon,ubuntu,22.04,x86_64,linode/ubuntu22.04,,,
os,gb-lon,debian,12,x86_64,linode/debian12,,,
os,gb-lon,debian,11,x86_64,linode/debian11,,,
os,fr-par,ubuntu,24.04,x86_64,linode/ubuntu24.04,,,
os,fr-par,ubuntu,22.04,x86_64,linode/ubuntu22.04,,,
os,fr-par,debian,12,x86_64,linode/debian12,,,
os,fr-par,debian,11,x86_64,linode/debian11,,,
os,nl-ams,ubuntu,24.04,x86_64,linode/ubuntu24.04,,,
os,nl-ams,ubuntu,22.04,x86_64,linode/ubuntu22.04,,,
os,nl-ams,debian,12,x86_64,linode/debian12,,,
os,nl-ams,debian,11,x86_64,linode/debian11,,,
os,ap-northeast,ubuntu,24.04,x86_64,linode/ubuntu24.04,,,
os,ap-northeast,ubuntu,22.04,x86_64,linode/ubuntu22.04,,,
os,ap-northeast,debian,12,x86_64,linode/debian12,,,
os,ap-northeast,debian,11,x86_64,linode/debian11,,,
os,us-east,ubuntu,24.04,x86_64,linode/ubuntu24.04,,,
os,us-east,ubuntu,22.04,x86_64,linode/ubuntu22.04,,,
os,us-east,debian,12,x86_64,linode/debian12,,,
os,us-east,debian,11,x86_64,linode/debian11,,,
os,us-southeast,ubuntu,24.04,x86_64,linode/ubuntu24.04,,,
os,us-southeast,ubuntu,22.04,x86_64,linode/ubuntu22.04,,,
os,us-southeast,debian,12,x86_64,linode/debian12,,,
os,us-southeast,debian,11,x86_64,linode/debian11,,,
mdb,g6-nanode-1,nanode,eu-central,postgres,1,1,,
mdb,g6-standard-1,standard,eu-central,postgres,1,2,,
mdb,g6-standard-2,standard,eu-central,postgres,2,4,,
mdb,g6-standard-4,standard,eu-central,postgres,4,8,,
mdb,g6-dedicated-2,dedicated,eu-central,postgres,2,4,,
mdb,g6-dedicated-4,dedicated,eu-central,postgres,4,8,,
mdb,g6-nanode-1,nanode,gb-lon,postgres,1,1,,
mdb,g6-standard-1,standard,gb-lon,postgres,1,2,,
mdb,g6-standard-2,standard,gb-lon,postgres,2,4,,
mdb,g6-standard-4,standard,gb-lon,postgres,4,8,,
mdb,g6-dedicated-2,dedicated,gb-lon,postgres,2,4,,
mdb,g6-dedicated-4,dedicated,gb-lon,postgres,4,8,,
mdb,g6-nanode-1,nanode,fr-par,postgres,1,1,,
mdb,g6-standard-1,standard,fr-par,postgres,1,2,,
mdb,g6-standard-2,standard,fr-par,postgres,2,4,,
mdb,g6-standard-4,standard,fr-par,postgres,4,8,,
mdb,g6-dedicated-2,dedicated,fr-par,postgres,2,4,,
mdb,g6-dedicated-4,dedicated,fr-par,postgres,4,8,,
mdb,g6-nanode-1,nanode,nl-ams,postgres,1,1,,
mdb,g6-standard-1,standard,nl-ams,postgres,1,2,,
mdb,g6-standard-2,standard,nl-ams,postgres,2,4,,
mdb,g6-standard-4,standard,nl-ams,postgres,4,8,,
mdb,g6-dedicated-2,dedicated,nl-ams,postgres,2,4,,
mdb,g6-dedicated-4,dedicated,nl-ams,postgres,4,8,,
mdb,g6-nanode-1,nanode,ap-northeast,postgres,1,1,,
mdb,g6-standard-1,standard,ap-northeast,postgres,1,2,,
mdb,g6-standard-2,standard,ap-northeast,postgres,2,4,,
mdb,g6-standard-4,standard,ap-northeast,postgres,4,8,,
mdb,g6-dedicated-2,dedicated,ap-northeast,postgres,2,4,,
mdb,g6-dedicated-4,dedicated,ap-northeast,postgres,4,8,,
mdb,g6-nanode-1,nanode,us-east,postgres,1,1,,
mdb,g6-standard-1,standard,us-east,postgres,1,2,,
mdb,g6-standard-2,standard,us-east,postgres,2,4,,
mdb,g6-standard-4,standard,us-east,postgres,4,8,,
mdb,g6-dedicated-2,dedicated,us-east,postgres,2,4,,
mdb,g6-dedicated-4,dedicated,us-east,postgres,4,8,,
mdb,g6-nanode-1,nanode,us-southeast,postgres,1,1,,
mdb,g6-standard-1,standard,us-southeast,postgres,1,2,,
mdb,g6-standard-2,standard,us-southeast,postgres,2,4,,
mdb,g6-standard-4,standard,us-southeast,postgres,4,8,,
mdb,g6-dedicated-2,dedicated,us-southeast,postgres,2,4,,
mdb,g6-dedicated-4,dedicated,us-southeast,postgres,4,8,,
